num_gpu,duration,submit_time,iterations,model
5,3850,3729493,7700,bert
5,5478,3036950,10956,bert
1,7146,2346140,14292,bert
6,12343,2161855,24686,bert
1,7953,1744028,15906,bert
5,836,3296287,1672,bert
16,108,2078562,216,bert
8,5828,2392345,11656,bert
5,35,2413258,70,bert
5,8336,1928375,16672,bert
5,4456,3194021,8912,bert
1,6811,2346141,13622,bert
2,51565,2897659,103130,bert
5,4191,3194755,8382,bert
5,4113,3497495,8226,bert
5,4106,3367966,8212,bert
5,151,1543035,302,bert
1,6907,2607990,13814,bert
10,80,2252632,160,bert
5,8047,2006193,16094,bert
16,135,3534297,270,bert
3,59,1185766,118,bert
1,571,2783594,1142,bert
3,491,1905901,982,bert
5,812,3296563,1624,bert
5,3582,3497494,7164,bert
5,81,2997399,162,bert
16,769,2150951,1538,bert
2,1915,3462305,3830,bert
3,1652,2253039,3304,bert
2,16814,1619973,33628,bert
16,73,3534317,146,bert
5,8009,2006255,16018,bert
1,16263,3689082,32526,bert
4,6267,3641005,12534,bert
5,5473,3114260,10946,bert
5,214,3296681,428,bert
5,4193,3114806,8386,bert
5,4817,3367758,9634,bert
1,1645,2942570,3290,bert
5,3229,1683692,6458,bert
1,18378,3660103,36756,bert
10,144,2540662,288,inception
5,3080,3367818,6160,bert
1,10487,3482418,20974,bert
1,132,2776669,264,bert
1,9056,1744043,18112,bert
6,4809,2161938,9618,bert
8,10342,2430557,20684,bert
5,4456,3282475,8912,bert
5,8599,1925117,17198,bert
5,4008,3497496,8016,bert
5,5081,2947813,10162,bert
6,4694,2252210,9388,bert
5,5486,3107910,10972,bert
10,492,3464466,984,inception
25,305,3569693,610,inception
5,125,2666468,250,bert
5,5531,3107747,11062,bert
1,196,1666857,392,bert
5,8198,2007116,16396,bert
4,2258,2250073,4516,bert
1,13569,2299375,27138,bert
5,4931,3367494,9862,bert
5,4006,3544552,8012,bert
1,5591,2607994,11182,bert
3,83,3256152,166,bert
3,174,1822811,348,bert
1,185,1666620,370,bert
5,4213,3194691,8426,bert
5,243,1299537,486,bert
1,9572,3482418,19144,bert
5,4936,3367656,9872,bert
5,5461,3036969,10922,bert
5,4972,2865090,9944,bert
5,4458,3114850,8916,bert
3,65,1185745,130,bert
1,9229,1744042,18458,bert
3,470,1823041,940,bert
5,8223,2006316,16446,bert
5,5820,3069646,11640,bert
5,4229,3070736,8458,bert
1,7112,2524225,14224,bert
1,9621,1744043,19242,bert
5,2981,3283636,5962,bert
5,8186,2007094,16372,bert
3,50,2082186,100,bert
8,5210,2858388,10420,bert
16,2109,1229424,4218,bert
4,32236,2885071,64472,bert
5,8455,2785583,16910,bert
8,146127,3199088,292254,bert
16,1571,2079152,3142,bert
1,8024,1744028,16048,bert
5,4139,2989529,8278,bert
1,185,2536419,370,bert
16,361,3534284,722,bert
16,91,1978584,182,bert
1,5912,2892735,11824,bert
1,6813,2346142,13626,bert
16,700,3534305,1400,bert
8,88610,1591103,177220,bert
5,455,2326264,910,bert
5,4195,3115009,8390,bert
16,114,2150974,228,bert
5,1112,3628206,2224,bert
5,3008,3628149,6016,bert
5,337,3598378,674,bert
5,7940,1859582,15880,bert
5,8430,2006847,16860,bert
1,6986,2607989,13972,bert
8,4204,2908676,8408,bert
5,8103,1686360,16206,bert
1,2563,2585630,5126,bert
1,215,1666423,430,bert
16,854,1804578,1708,bert
5,5853,2831712,11706,bert
5,186,2150975,372,bert
8,144735,3124938,289470,bert
5,4489,3282618,8978,bert
5,5610,3366911,11220,bert
5,3880,3544693,7760,bert
5,5488,3037049,10976,bert
