num_gpu,duration,submit_time,iterations,model
8,0,0,52,vgg11
2,0,0,19,inception4
4,0,0,24,vgg16
8,0,0,19,inception3
2,0,0,26,resnet152
2,0,0,24,vgg16
2,0,0,20,vgg19
8,0,0,33,resnet50
4,0,0,36,alexnet
2,0,0,52,vgg11
2,0,0,36,alexnet
8,0,0,26,resnet152
4,0,0,36,googlenet
8,0,0,20,vgg19
8,0,0,36,resnet101
8,0,0,36,googlenet
4,0,0,52,vgg11
4,0,0,26,resnet152
2,0,0,19,inception3
2,0,0,33,resnet50
2,0,0,36,resnet101
8,0,0,36,alexnet
8,0,0,19,inception4
4,0,0,36,resnet101
4,0,0,20,vgg19
4,0,0,19,inception3
8,0,0,24,vgg16
2,0,0,36,googlenet
4,0,0,33,resnet50
4,0,0,19,inception4
